Nâng cấp bắt đầu: 23:06:40_05-10-2023
23:06:40_05-10-2023 | ::1 | Cập nhật module News lên 4.5.04 | SUCCESS
23:06:41_05-10-2023 | ::1 | Cập nhật hệ thống lên 4.5.04 | SUCCESS
23:06:42_05-10-2023 | ::1 | Cập nhật CSDL lên phiên bản 4.5.04 | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/authors/2step.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/authors/2step_zalo.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/authors/api-credentials.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/authors/api-roles.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/authors/main.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/authors/module.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/database/functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/index.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/language/check.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/modules/change_custom_name.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/modules/change_site_title.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/settings/admin.menu.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/settings/ftp.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/settings/functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/settings/security.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/settings/system.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/settings/variables.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/themes/admin.menu.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/themes/main.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/addlogo.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/admin.menu.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/config.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/createimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/cropimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/delfolder.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/delimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/dlimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/folderlist.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/moveimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/renamefolder.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/rotateimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/thumbconfig.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/upload.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/upload/uploadconfig.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/zalo/admin.menu.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/zalo/functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/zalo/index.html | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/zalo/main.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file admin/zalo/settings.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file api.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/css/rss.xsl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/LICENSE.md | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/adapters/jquery.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/build-config.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/ckeditor.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/config.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/contents.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/lang/en.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/lang/fr.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/lang/vi.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/nv.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/kama/balloonpanel.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono/balloonpanel.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/balloonpanel/skins/moono-lisa/balloonpanel.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/clipboard/dialogs/paste.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/codesnippet/dialogs/codesnippet.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/colordialog/dialogs/colordialog.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/copyformatting/styles/copyformatting.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/dialog/dialogDefinition.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/eqneditor/dialogs/eqneditor.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/eqneditor/dialogs/lang/en.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/find/dialogs/find.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/googledocs/dialogs/googledocs.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/googledocs/dialogs/googledocs.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/icons.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/icons_hidpi.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/iframe/dialogs/iframe.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/image2/dialogs/image2.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/anchor.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/link/dialogs/link.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/liststyle/dialogs/liststyle.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastefromword/filter/default.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/common.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/pastetools/filter/image.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/placeholder/dialogs/placeholder.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/smiley/dialogs/smiley.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/en.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templatedefinition.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/dialogs/video.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/images/placeholder.png | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons.png | SUCCESS
